Year,Round,EventName,Driver,DriverNumber,Team,LapNumber,LapTime,Position,TireAge,Compound,Stint,PitInTime,PitOutTime,TrackTemp,AirTemp,Humidity,Pressure,WindDirection,WindSpeed,Rainfall,GapAhead,GapBehind,SafetyCar
2024,1,Bahrain Grand Prix,ALB,23,Williams,1.0,0 days 00:01:43.888000,11.0,1.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.403,0.461,0
2024,1,Bahrain Grand Prix,ALO,14,Aston Martin,1.0,0 days 00:01:41.679000,6.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,1.059,0.489,0
2024,1,Bahrain Grand Prix,BOT,77,Kick Sauber,1.0,0 days 00:01:48.536000,18.0,1.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,1.296,1.678,0
2024,1,Bahrain Grand Prix,GAS,10,Alpine,1.0,0 days 00:01:47.240000,17.0,1.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.583,1.296,0
2024,1,Bahrain Grand Prix,HAM,44,Mercedes,1.0,0 days 00:01:43.122000,9.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.599,0.363,0
2024,1,Bahrain Grand Prix,HUL,27,Haas F1 Team,1.0,0 days 00:01:53.555000,20.0,1.0,SOFT,1.0,0 days 01:01:52.101000,,23.8,18.2,49.0,1017.2,58,1.5,False,3.341,,0
2024,1,Bahrain Grand Prix,LEC,16,Ferrari,1.0,0 days 00:01:38.271000,2.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.987,0.957,0
2024,1,Bahrain Grand Prix,MAG,20,Haas F1 Team,1.0,0 days 00:01:44.349000,12.0,1.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.461,0.452,0
2024,1,Bahrain Grand Prix,NOR,4,McLaren,1.0,0 days 00:01:42.168000,7.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.489,0.355,0
2024,1,Bahrain Grand Prix,OCO,31,Alpine,1.0,0 days 00:01:46.657000,16.0,1.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.736,0.583,0
2024,1,Bahrain Grand Prix,PER,11,Red Bull Racing,1.0,0 days 00:01:40.053000,4.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.825,0.567,0
2024,1,Bahrain Grand Prix,PIA,81,McLaren,1.0,0 days 00:01:42.523000,8.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.355,0.599,0
2024,1,Bahrain Grand Prix,RIC,3,RB,1.0,0 days 00:01:45.668000,14.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.867,0.253,0
2024,1,Bahrain Grand Prix,RUS,63,Mercedes,1.0,0 days 00:01:39.228000,3.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.957,0.825,0
2024,1,Bahrain Grand Prix,SAI,55,Ferrari,1.0,0 days 00:01:40.620000,5.0,4.0,SOFT,1.0,,,23.8,18.2,49.0,1017.2,58,1.5,False,0.567,1.059,0
